Name,Friend Count,Photo Count,Review Count,Elite Member,Funny Count,Cool Count,Useful Count,Review Stars,Review Length,Reviews
Steve L.,0,7,4,0,0,0,0,5,235,"[<p lang=""en"">Just grab two bottle of Jo's. \xa0Got the cedar and the grapefruit. \xa0They'll go great to my collections. \xa0Perfect compliments to my exist to make new scents. One of a kind smell. \xa0The service here as always was great!</p>]"
Viviane A.,41,3,7,0,0,0,1,5,184,"[<p lang=""en"">Excellent service from Dana ! The 2 hrs drive from Glendale was so worth it! all staff were friendly but our fave is Dana! she's so helpful and patient! She's awesome!</p>]"
Cindy D.,0,0,1,0,0,0,1,5,773,"[<p lang=""en"">There is everything to love in this store--colognes lotions bath oils home scents the stylists specially Dana Beyer! A friend introduced me to Joe Malone last year and that's when I met her. Very helpful patient and generous with her time knowledge and customer service. I particularly admire her helping my children find Christmas presents by phone and having them delivered because one of them was out-of-state. It certainly took some stress off our busy holiday calendar! <br/><br/>A few weeks ago I went with a group of friends and Dana managed to assist us all even our spouses. Everyone left happy and looking forward to the next experience specially now that we're more adventurous in mixing scents! Thanks for letting us play and discover!</p>]"
Paul B.,321,4025,810,1,3,5,5,5,575,"[<p lang=""en"">When I was walking inside the Wynn Esplanade (mini high-end mall) I ran into a store called Jo Malone. The smell from the cologne and candles is what drawn me inside and the name has been stuck in my head and the scents smell so refined. Currently I own the Jo Malone scent ""Roses"" and the smell is so tantalizing!<br/><br/>Jo Malone and Tom Ford are the highest on my list for best smelling cologne along with Yve Chantre but they're not cheap and you can't find Jo Malone in every major department store except for Bloomingdales and other highend malls.</p>]"
Maripet D.,26,0,1,0,0,0,0,5,871,"[<p lang=""en"">I have been using Jo Malone perfumes for more than 10 years because I love how they smell &amp; the unique fragrance it creates when I layer one perfume over the other. I love going to Jo Malone Boutique at South Coast Plaza not just because of its huge inventory which you don't normally find in other Jo Malone shops but also because of this wonderful lady Dana Beyer who is so professional patient &amp; full of energy in assisting me in choosing the right scent . She is so hardworking &amp; always wears a smile whenever I see her. Because of her excellent customer service .... Dana spends time with me making sure that I am satisfied &amp; happy with the items that I purchased my friends now ask for her to assist them whenever they shop at the South Coast Plaza Jo Malone Boutique. Dana you are Truly A Major Asset to the Jo Malone Company.</p>]"
Lucilla G.,0,0,3,0,0,0,0,5,1011,"[<p lang=""en"">This store is my happy place!<br/><br/>I was struggling to find a chic and exciting bridesmaid gift to give to my girls at my wedding one I'd appreciate getting. \xa0Once I found out that this was exactly what Kate Middleton gave her maid's I was sold. \xa0I worked with Dana (who is amazing) at the South Coast Plaza boutique to find the perfect scent for each girl and then we had their names engraved on the bottles. \xa0It was extremely personal and elegant. \xa0<br/><br/>Obviously working on a deadline and shipping everything across the country can be stressful but Dana made it seamless on point and was extremely communicative throughout the process. \xa0Everything arrived beautifully packaged on time and ready to go for my East Coast wedding. \xa0<br/><br/>I also got an engraved bottle with my new last name and wedding day scent I still get giddy every time I use it and my husband knows where to go for every birthday holiday and anniversary gift to come. \xa0Great experience here!</p>]"
Ellen C.,63,0,80,0,0,0,0,4,212,"[<p lang=""en"">Wonderful and subtle perfume with crisp citrus overtone and warmer vanilla and amber undertones. I don't know why it's so expensive but I finally sprang for this as a birthday present for myself.</p>]"
Ashley M.,0,0,3,0,1,1,1,5,259,"[<p lang=""en"">Hi had the greatest experience this weekend while shopping at Jo Malone. Dana was so nice and very helpful \xa0and showed me how to make the best scents I didn't know you could make! Definitely will be coming back for more amazing experiences !</p>]"
Worker B.,10,36,114,0,1,0,1,5,348,"[<p lang=""en"">I walked in with my godsister who swore by the amazing service here and I was not disappointed. \xa0Dana Beyer you are so welcoming and I am definitely coming back!!! Bridal party gifts birthdays etc.... <br/><br/>(btw I rarely ever review non-restaurants but I just had to here!!! \xa0Never going to a counter for JM stuff anymore)</p>]"
Ashlee Y.,202,1,5,0,0,0,0,5,800,"[<p lang=""en"">Felice &amp; Katherine &amp; Julia were absolute DOLLS. I went in to get presents for my bridesmaids and they were all SUPER helpful. I discussed with them everything from my engagement shoot to my wedding in china and they were all just so friendly &amp; we chatted away like old friends. Felice was wonderful with her fragrance suggestions and I was absolutely in love with the items I picked out. I got Mimosa Cologne &amp; Peony Suede Creme for my bridesmaids &amp; Bluebell+Peony Cologne for myself to mix together! All with the help of the lovely Felice &amp; Julia! Apparently Peony Suede's huge for weddings ;) They packaged them all beautifully as wellFelice even gave me a sample goodie bag! I wish this was closer to home I would definitely pay them visits more often!</p>]"
Elizabeth A.,499,6,278,1,1,0,5,5,2065,"[<p lang=""en"">Ok..they've somehow managed to top themselves. My mom and I came here for the 15% birthday month deal since it was my mom's birthday this month. This visit I took the time to smell the scents (I pretty much just smelled the rose one last year and went with that) and each scent is so interesting and different- it depends on the person but you will find some amazing and you will find some not so pleasing. What's great is how fresh and authentic they smell. It seriously makes other perfumes that I own artificial smelling in contrast. I almost don't even want to bother with other perfume brands now. <br/><br/>This trip I purchased the pear perfume and lotion. Omg the lotion is just as amazing as the perfume- it feels like silk and the scent is long lasting and not harsh on my sensitive skin. The pear perfume reminds me of something..I can't place it..an alcoholic drink maybe? But it just smells sooooo good. You can even combine scents like the rose and pear. <br/><br/>Randomly I was reading a magazine in the waiting room of an appointment earlier that day when I saw an article on perfumes and they showed a picture of a Jo Malone perfume box set which consisted of 5 different perfumes..this magazine was from Dec but I thought I would ask anyway and see if they had any left...they did! Got 2 of the last few sets. <br/><br/>I also want to commemorate Brianna on her excellent attention to customers. She was the only one working at the time and give special attention to each customer in the store. My mom was in a wheelchair and she offered to ship our purchases to our house so we wouldn't have to carry them around..it's REALLY difficult to push around a wheelchair with huge shopping bags. Brianna was super friendly and helped us pick out products without being pushy. She even gave us a ton of samples. <br/><br/>I would love to try out the candles or bath products next time...trying not to make my wallet cry this month. <br/><br/>I also LOVE the packaging of the products..It just looks so classy. Perfect for gifts.</p>]"
Kate D.,1,0,2,0,0,0,1,5,693,"[<p lang=""en"">Walked in just because I was curious...I am visiting from London and wanted to compare stores..I know all about royalty but never knew the \xa0the true meaning until I met with stylist Dana Beyer!..I have never \xa0ever felt this way from a shopping experience..The professionalism and one on one service was incredible.. Dana was so sweet patient and beyond fun..I seriously didn't want to leave the store....I now know what royalty feels like and will be recommending all my friends who visit \xa0Southern California to come to your store... Dana Beyer is definitely a unique individual.Thank you so much Dana! As I told you I have always liked Jo Malone but now I'm hooked. K.D</p>]"
Rica M.,0,0,5,0,0,0,1,5,820,"[<p lang=""en"">I love Jo Malone! It is one of my favorite stores in South Coast Plaza. I always look forward to their private events when there is a seasonal scent or new fragrance. I love having my birthday hand massage there too. Dana is one of the stylists there and she is just awesome! She is friendly knowledgeable thoughtful and I just love her. I don't live in the OC and I will only buy Jo Malone products from the South Coast Plaza store and preferably from Dana. I call her up and let her know about what I need/want and she is always so helpful. Once I ordered a gift and I could have waited for the overnight delivery but instead she sent the items to me by courier. Wow! That's just customer service that is above and beyond! Dana and the ladies of Jo Malone South Coast Plaza are wonderful!</p>]"
Ashley K.,0,0,3,0,0,0,0,2,364,"[<p lang=""en"">Customer service isn't so good. Nobody greets or helps out. I had to go up to one of the asian chick employer to help me while she was chit chatting with another employee. <br/>Also the asian chick was so bad at gift wrapping. She wrinkled the shit out of the tissue paper lol smh...<br/>Employees need to know how to represent the brand's values.</p>]"
Christine L.,242,15,53,0,0,0,0,5,648,"[<p lang=""en"">The best perfume ever! I love everything about Jo Malone products. I love their wide range of perfumes and love their layering concept to make the perfume your own. Their packaging is also so cute and presentable for gifts. A lot of their scents go so well together. They are always coming out with new scents so I love stopping by this store to check it out. I will however always be loyal to the scent that started my relationship with Jo Malone - Nectarine Blossom &amp; Honey. This store's employees are always super helpful (they introduce me to different scents to layer and provide samples) and are never pushy with selling.</p>]"
Teresa I.,0,0,3,0,0,0,0,5,528,"[<p lang=""en"">Felice is an amazing lady that helped me at the Jo Malone store at the South Coast Plaza. Felice went above and beyond to find my favorite fragrance and my daughter's favorite fragrance also. Felice is truly an asset to the Jo Malone store. Her kind manner and patience with me was a blessing. Felice is a person I would recommend to my family and friends. Felice gives her all at her job and is so respectful and a fun lady too!! 100 percent happy with the wonderful customer service. Thank you so much Felice.</p>]"
Heather G.,0,0,6,0,0,0,0,5,289,"[<p lang=""en"">My mom bought my favorite Joe Malone scent for my birthday English Pear and Freesia!! Felice helped my mom and put together a beautiful gift for me!!! Felice is amazing and always helps us with what we need! She truly goes above and beyond for people. Thank you Felice!!!</p>]"
Sarah B.,227,17,335,0,0,0,0,5,1156,"[<p lang=""en"">Incense and Embers is the best candle in the world!<br/>I'm told it was the original scent burned in the Catholic church.<br/><br/>I'm not a fan of the whole ""layering"" concept.<br/>I buy one perfume to be well rounded..<br/>Jo Malone is much more linear than what I think of Penhaligon's...but I like Jo Malone as well.<br/><br/>The prices are reasonable and the scents are interesting.<br/><br/>I'm currently wearing Orange Blossom which is really nice when it settles down.<br/>Pomegranate Noir is a very sexy evening scent.<br/>Earl Grey and Cucumber is a very fresh scent.<br/>Red Roses is divine as well...<br/><br/>They usually have prepackaged samples. Ask for some of the ones you are interested in so you can try them on your skin to see what the scent is like after it initially dries down.<br/>Does it give you a headache? Do you like the notes you are smelling throughout the day? Does it blend well with your skin?<br/>If it doesn't keep looking.<br/><br/>I appreciate them letting me use the take home samples so I can make a better decision about what I purchase--often times if I like the scent I'll buy the biggest size.</p>]"
Jimmy N.,601,167,801,1,8,1,3,5,1939,"[<p lang=""en"">Have you ever seen Love Actually? If you haven't then you need to see it it's one great film. Anyway if you have then you'll know what I'm talking about and you'll know why you need to shop here for your fragrances or gifts. :D<br/><br/>Remember that one scene where Rowan Atkinson (mr bean!!!)'s character goes into the department store to buy his wife a gift but it wasn't really for his wife or something (i don't recall the scene too clearly but this next part I remember for sure).. he gets something like a candle that's nice and he asks for gift wrap? Okay so Jo Malone does the exact same thing with their gifts (should you ask for gift wrap!) <br/><br/>I bought a set of 3 2oz. candles in a citrusy floral scent as a gift and the gal was so wonderful to help me choose since it's always hard to shop scents for other people. She wrapped it up pretty much exactly like that scene in Love Actually! She put the candle set (already boxed) inside a larger box (lined with some clear cellophane) filled the box with a variety of complimenting potpourri sifted in some rose petals and other flower petals.. tossed in some dried fruit slices (all complimenting scents to the purchased item too) put the lid on the box and tied a gorgeous black ribbon bow on it. This process took about 10-15 minutes FYI.. lol. <br/><br/>They have an amazing selection of scents &amp; fragrances from woodsy to floral and everything in between. they can even custom make a scent for you too if you want (at a ""nominal"" custom fee). sure they're a little more priced than say Yankee Candle that's sold in your local Bed Bath &amp; Beyond stores but you really do get what you pay for. Their candles last for a bazillion hours and so do their perfumes. :) <br/><br/>I have no specific salesperson to go to they're all really helpful in my opinion so have at it and good luck choosing a scent for you (or someone else!)</p>]"
Edna E.,0,0,1,0,0,0,0,5,207,"[<p lang=""en"">Ask for Dana Beyer -- she's amazing! \xa0We didn't mind the 1-hr-drive and the $$$ spent because of the excellent service we received from her! \xa0Dana sure knows how to make her clients happy!</p>]"
Chris A.,0,0,4,0,0,0,0,5,232,"[<p lang=""en"">Dana Beyer was amazing. She made Mothers Day simple and easy. All 3 were beyond happy and I now have my go to store and sales person for all my future presents. Wonderful experience and the great service Well done.</p>]"
Graeme H.,42,2,78,0,5,1,2,1,1382,"[<p lang=""en"">Don't get me wrong. \xa0The scents are bad ass and I really like their cologne but my experience today totally ruined it for me. \xa0I went in to buy some refills for my cologne. \xa0 I was met by Julia Yi who was either COMPLETELY out of it on drugs or just having a really bad day. \xa0 There were only two people in the store me and her. \xa0 \xa0<br/>Whatever I asked to try she came back with something else. \xa0 I asked for Pomegranate and she came back with Grapefruit. \xa0 I asked to try Vetiver and she pushed the Sea Salt on me. \xa0I asked for Lime Basil and She came back with something else. \xa0 \xa0I don't know what her distraction was but she clearly wasn't listening. \xa0Then she tried to get me to sign up on her mailing list. \xa0Ok fine but I am already in the system and I told her. \xa0She said she insisted I sign up. \xa0I told her to look me up first and if she can't find me I will add it. \xa0 She refused and she wanted me to add my info again. \xa0 <br/><br/>All in all she was clueless had no clue what was going on what she was doing nor was she familiar with any of the products at least in my experience. \xa0 \xa0I got so flustered I left. \xa0 \xa0<br/><br/>People they offer free shipping. \xa0Save yourself a visit to the ""boutique"" and order online or from headquarters. \xa0 You will have a much more pleasant experience if you already know what you want.</p>]"
Esther A.,7,332,130,0,0,0,0,5,1033,"[<p lang=""en"">Lovely ladies greeted me and helped me out with different scents/colognes. I really liked that they didn't pressure me into buying anything. You know how sales people are like.. She told me that I should spray some on walk around and take some time to decide. I was debating whether to get coco chanel mademoiselle or jo malone peony and suede. Not getting too much into reviewing the perfume but jo malone scent stayed the same note throughout the 2 hours as I walked around the mall. Jo malone colognes can be layered on which I thought was a weird concept. Their scents are amazing and have many selections. I like floral scents and they smell so good and pretty. They wrapped up the perfume like it was a gift. The process took a while but they had technical issues and their system was down. Totally understand when that happens. It sucks when everything is down but she did her best and gave such excellent customer service. She also gave me two samples that I can layer the cologne with. Two thumbs up!!</p>]"
Maggie B.,0,0,3,0,0,0,1,5,223,"[<p lang=""en"">Amazing product and really great customer service! One of the employees Dana Beyer was so helpful and sweet! She helped me get everything I needed...first time shopping here and definitely not the last!!!</p>]"
Jacelyn C.,21,334,459,0,0,0,0,5,115,"[<p lang=""en"">Love their fragrance and love their candles. A little pricey yes but worth the ocassional splurge!</p>]"
Alyssa A.,0,0,16,0,0,1,1,5,298,"[<p lang=""en"">I had the pleasure of working with Dana Beyer on my recent shopping experience here. She was such a great person to talk to and so helpful. It turns out we know a mutual person too. Small world. Please come see Dana and you will leave with a big smile. Great customer service Dana!</p>]"
Kat L.,311,40,457,0,0,1,1,4,695,"[<p lang=""en"">Is it obvious that I love perfume? \xa0I have been frequenting the Jo Malone store and the ladies have always been very nice and helpful. \xa0It's fun to try on the different scents and to combine the scents you like. \xa0It really adds another level to the mix.<br/><br/>Don't be shy and go in to test out the fragrances. \xa0They are not overpowering and have a classy feel. \xa0I like the fruitier scents. \xa0I am still contemplating if I should purchase some for myself but as of yet I just borrow some from my sister to see if I am ready to fully commit to a bottle.<br/><br/>Beware the mini bottles look so cute that I am very tempted to buy them even though they are a worse deal.</p>]"
Sam N.,4998,0,810,1,4,4,8,5,1234,"[<p lang=""en"">The First Cologne I ever bought was Amber \xa0&amp; Lavender by Jo Malone. It was designed as an anniversary present for her Husband in 1995. I bought that same cologne that year and I have loved all of Jo Malones scents ever since. <br/><br/>They are clean crisp and fresh. Made of surprisingly refreshing scents such as Grapefruit Orange Blossom Amber &amp; Lavender and Nutmeg Ginger. Her bottles run 100 bucks for a 3.4 ounce and are designed to be layered. <br/><br/>I layer the Vetyver with Amber and Lavender for a masculine clean scent. Her scents truly are remarkable and have a ""You will notice me ! "" effect. <br/><br/>Jo Malone started off as a facialist in London and then mixed her own scents and now sells both scents and skin care. Her Frothy mint cleanser is highly recommended. A little goes a long way and the bottle will last you forever. Seriously its the best cleanser I have ever used! The sales staff is friendly and will over load you with samples with your purchase. <br/><br/>Boutique fragrances like Jo Malone Santa Maria Novella Bond 9 Eau de Italie L'Artisan separate the classy from the common every day scents you find at macys. <br/><br/>Buy a bottle you wont be disappointed!</p>]"
Diane L.,9,8,32,0,0,0,1,5,1400,"[<p lang=""en"">I had what I would consider to be a perfect and flawless shopping experience at the Jo Malone Boutique in South Coast Plaza. I was greeted and helped by Elizabeth the Manager I was amazed at how friendly and helpful she was. The best part was you could tell she had total faith and love for the product she sells.<br/><br/>I originally came in just to purchase the new Wild Bluebell fragrance Elizabeth helped me put together great combinations that included Jo Malone scents I already owned as well as ones I had yet to purchase. I love how she didn't force or pressure me into purchasing anything she wanted me to love it and not just like it. Of course I ended up leaving with 3 new scents instead of just the 1. She introduced me to the Jo Malone Oils which I had yet to try because the idea of rubbing oil on my body seemed a little odd to me but after trying them in the store I knew I would be coming back to purchase a few oils later this month. I left with my purchases some samples and a list of items I would be getting next time.<br/><br/>Overall I loved my experience and left feeling like I had made a smart purchase and was glad I took the time to go to the SCP Boutique and not just purchase from one of the department stores where the sales people tend to now be as knowledgeable about the products. If you visit ask for Elizabeth you won't be disappointed!</p>]"
Anisha G.,89,25,375,0,0,0,0,5,1269,"[<p lang=""en"">I am very new to Jo Malone. <br/><br/>A \xa0family was given a candle couple years ago but the scent tickled my nose and unfortunately didn't impress me. <br/>However this summer I was visiting a friend and went through her fragrance collection and there was the Jo Malone colognes. She had the Assam &amp; Grapefruit scent -- Amazing!<br/><br/>I entered and browsed a little. I am not sure who helped me but she might have been new.. Anyways she told me that this scent was sold out \xa0but then we found some and they only had a handful left. She said that this was a limited edition fragrance and that if they relaunch it it will be in the next 3 to 4 years and not sooner. I couldn't tell if she was being honest or trying to sell more. Yet to be on the safe side \xa0I bought a couple to stock up. <br/><br/>I also purchased a body creme and perhaps one of the most expensive body cremes I have purchased in my life -- better be worth it!<br/>I will get the name and post it later.<br/><br/>Well it seems she was telling the truth I can't find that scent on the website. Good!<br/><br/>Also they beautifully pack each and every product you purchase and give fragrance samples of what they think will go well with what you have purchased.</p>]"
Trish T.,77,0,7,0,0,0,2,5,1114,"[<p lang=""en"">I have always been a fan of Jo Malone but yesterday I went into their new location in South Coast Plaza (still on the 2nd floor but now by Macy's) and I was blown away by the service. \xa0I walked into a party atmosphere an event they were having and had only intended to get my friend a gift card and run out. \xa0I had my daughter with me and we walked straight to the back of the boutique to be helped. \xa0That is when we met Katherine! \xa0She was beyond helpful. \xa0Katherine was friendly patient helpful with suggestions and very easy to talk with. \xa0She asked questions provided us with samples - not only for my friends gift but also for myself and my 13 year old daughter and then wrapped up the gift card (too many fragrances to choose from) along with the samples in a lovely bag tied with a bow and included a card! \xa0While the other ladies working there seemed like they would be equally helpful Katherine is the lady who I will return to work with and refer to all of my friends! \xa0I've worked in retail for over 6 years and I have bought many gift cards - her service was exceptional!</p>]"
Shun H.,2,10,25,0,0,2,2,4,482,"[<p lang=""en"">pretty much all i have to say is that <br/>their Red Roses cologne is one of the best scent i had. <br/><br/>this place wasnt really my favorite place to go but my crush wanted to go. <br/>so i visited Jo Malone with her and we both liked the rosy cologne so much! then 1 week after she bought it i bought it too. it just reminds me of her all the times=) <br/><br/>maybe i just love it so much just because of her but overall Jo Malone's items are just so good.</p>]"
Alexis T.,18,13,19,0,0,0,0,5,190,"[<p lang=""en"">Superb client service amazing products. They also give you ideas to mix and match scents (you know a great way to upsell an expencive bottle of perfume but it's worth it).</p>]"
