Location,lat,lng,Original_Location
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"Wolverhampton, UK",52.586973,-2.12882,"WOLVERHAMPTON, ENGLAND"
"Caribou, ME 04736, USA",46.8639995,-67.9980365,"CARIBOU, ME"
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"13549 Mayflower St, Victorville, CA 92392, USA",34.497012,-117.384083,HOGWORTS
"London, UK",51.5073509,-0.1277583,LONDON & BEACONSFIELD
United Kingdom,55.378051,-3.435973,UK
"California, USA",36.778261,-119.4179324,"CALIFORNIA, USA"
"Warrington, UK",53.3900441,-2.5969501,"WARRINGTON, ENGLAND"
South Africa,-30.559482,22.937506,SOUTH AFRICA
"Cancún, Quintana Roo, Mexico",21.161908,-86.8515279,"CANC�N, QUINTANA ROO"
"Belfast, UK",54.597285,-5.93012,"BELFAST, U.K."
"Tokyo, Japan",35.6894875,139.6917064,TOKYO<U+21C6>SHIZUOKA
"Kensington, London, UK",51.5010095,-0.1932794,"KENSINGTON, LONDON"
Malaysia,4.210484,101.975766,MALAYSIA
Cayman Islands,19.3133,-81.2546,CAYMAN ISLANDS
Panama,8.537981,-80.782127,PANAMA
"Chicago, IL, USA",41.8781136,-87.6297982,"CHICAGO, IL"
"Joplin, MO, USA",37.0842271,-94.513281,"JOPLIN, MO"
"265 N Moonlight Rd, Gardner, KS 66030, USA",38.8143167,-94.9081542,MOONLIGHT
Greece,39.074208,21.824312,GREECE!
"Cardiff, UK",51.481581,-3.17909,CARDIFF
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"Kettering, UK",52.396322,-0.730249,"KETTERING, ENGLAND"
"Los Angeles, CA, USA",34.0522342,-118.2436849,LOS ANGELES CALIFORNIA
"England, UK",52.3555177,-1.1743197,ENGLAND
Riyadh Saudi Arabia,24.7135517,46.6752957,RIYADH
"Brighton, UK",50.82253,-0.137163,"BRIGHTON, ENGLAND"
"Iowa, USA",41.8780025,-93.097702,THE HAWKEYE STATE
"San Diego, CA, USA",32.715738,-117.1610838,"SAN DIEGO, CA"
Ireland,53.1423672,-7.6920536,IRELAND
"San Francisco, CA, USA",37.7749295,-122.4194155,"SAN FRANCISCO, CA"
"London, UK",51.5073509,-0.1277583,LONDON
"London, UK",51.5073509,-0.1277583,SOUTH EAST LONDON
The Bahamas,25.03428,-77.39628,BAHAMAS
"Pantukan, Compostela Valley, Philippines",7.2552217,126.1562026,"PANTUKAN, DAVAO REGION"
"Malacca, Malaysia",2.189594,102.2500868,"BANDAR MELAKA, MALACCA"
"Southgate, London, UK",51.6280495,-0.1267762,"SOUTHGATE, LONDON"
"Nottingham, UK",52.9547832,-1.1581086,"NOTTINGHAM, ENGLAND"
"Aykley Heads Business Centre, B6532, Durham DH1 5TS, UK",54.7882162,-1.5881933,"NORTH EAST, ENGLAND"
"8228 E 61st St #111, Tulsa, OK 74133, USA",36.0738686,-95.8858834,ON A BEACH
"Chelmsford, UK",51.7355868,0.4685497,"CHELMSFORD, ESSEX"
"Via San Antonio, Dallas, TX 75211, USA",32.7400042,-96.8956124,SAN ANTONIO/DALLAS TX
"England, UK",52.3555177,-1.1743197,"ENGLAND, UNITED KINGDOM"
Italy,41.87194,12.56738,ITALY
"London, UK",51.5073509,-0.1277583,LONDON UK
"Makati, Metro Manila, Philippines",14.554729,121.0244452,"MAKATI CITY, NATIONAL CAPITAL REGION"
"South Shields, UK",54.999424,-1.427406,"SOUTH SHIELDS, ENGLAND"
"Mt Laurel, NJ, USA",39.934002,-74.8909988,"MOUNT LAUREL, NJ"
"Fareham, UK",50.8548464,-1.1865868,"FAREHAM , UNITED KINGDOM"
"London NW1 4BU, UK",51.5288277,-0.1447368,"CAMDEN, LONDON NW1 4BU"
Ireland,53.1423672,-7.6920536,IRELAND/UK
"Surrey, UK",51.3147593,-0.5599501,"SURREY, UK"
"England, UK",52.3555177,-1.1743197,"ENGLAND, UNITED KINGDOM"
"Glasgow, UK",55.864237,-4.251806,GLASGOW
"Liverpool, UK",53.4083714,-2.9915726,LIVERPOOL
"Cambridgeshire, UK",52.2052973,0.1218195,"CAMBRIDGESHIRE, UK"
"Newcastle upon Tyne, UK",54.978252,-1.61778,NEWCASTLE UPON TYNE
"Fairlie, UK",55.757375,-4.8534769,"FAIRLIE, SCOTLAND"
"Woodcote, UK",51.5337349,-1.0770801,WOODCOTE
"Historic London Town & Gardens, 839 Londontown Rd, Edgewater, MD 21037, USA",38.9411119,-76.5410412,LONDON TOWN
"San Francisco, CA, USA",37.7749295,-122.4194155,"SAN FRANCISCO, CA"
"Hertfordshire, UK",51.8097823,-0.2376744,HERTFORDSHIRE
"Miserden, UK",51.7858313,-2.1113787,"MISERDEN, ENGLAND"
"London, UK",51.5073509,-0.1277583,LONDON
"Tokyo, Japan",35.7090259,139.7319925,<U+65E5><U+672C> <U+6771><U+4EAC>
"Co. Tipperary, Ireland",52.4737894,-8.1618514,"TIPPERARY, IRELAND"
South Africa,-30.559482,22.937506,SOUTH AFRICA
"Newcastle upon Tyne, UK",54.978252,-1.61778,NEWCASTLE UPON TYNE
"Horsham, PA, USA",40.1784422,-75.1285061,HORSHAM
"Las Rozas, Madrid, Spain",40.4935329,-3.8757916,"LAS ROZAS DE MADRID, ESPA�A"
"Durban, South Africa",-29.8586804,31.0218404,"DURBAN, SOUTH AFRICA"
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"Morecambe, UK",54.074166,-2.864968,MORECAMBE
"Nagoya, Aichi Prefecture, Japan",35.1814464,136.906398,<U+30A2><U+30A4><U+30C1><U+30B1><U+30F3><U+30CA><U+30B4><U+30E4><U+30B7>
United Kingdom,55.378051,-3.435973,UK
"Crossgar, Downpatrick BT30, UK",54.3974044,-5.7627853,CROSSGAR CO.DOWN N.IRELAND
"England, UK",52.3555177,-1.1743197,"ENGLAND, UNITED KINGDOM"
"England, UK",52.3555177,-1.1743197,"SOUTH EAST, ENGLAND"
"Liverpool, UK",53.4083714,-2.9915726,"LIVERPOOL, ENGLAND"
"Axminster EX13, UK",50.782727,-2.994937,"AXMINSTER, DEVON"
"London, UK",51.5073509,-0.1277583,LONDON
"12529 Alondra Blvd, Norwalk, CA 90650, USA",33.8884706,-118.065048,CALIFORNIA...WHERE ELSE?
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"Istanbul, Turkey",41.0082376,28.9783589,"ISTANBUL, T�RKIYE"
"Dallas, TX, USA",32.7766642,-96.7969879,"DALLAS, TX"
United States,37.09024,-95.712891,UNITED STATES
"Dublin, Ireland",53.3498053,-6.2603097,DUBLIN
"Newcastle upon Tyne, UK",54.978252,-1.61778,"NEWCASTLE UPON TYNE, ENGLAND"
"Skopje, Macedonia (FYROM)",41.9973462,21.4279956,�SK�P
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"Crosby, Liverpool L23, UK",53.4892924,-3.0462309,"CROSBY, LIVERPOOL"
"Scotland, UK",56.4906712,-4.2026458,"SCOTLAND, UNITED KINGDOM"
"Shanghai Pudong International Airport (PVG), S1 Yingbin Expy, Pudong Xinqu, Shanghai Shi, China",31.1443439,121.808273,SHANGHAI - DUS
Saudi Arabia,23.885942,45.079162,KINGDOM OF SAUDI ARABIA
"Essex, UK",51.7343313,0.4690888,"ESSEX, UK"
"Hollywood, Los Angeles, CA, USA",34.0928092,-118.3286614,"HOLLYWOOD, LOS ANGELES"
"Houtbosdorp, South Africa",-23.82094,29.90139,"HOUTBOSDORP, SOUTH AFRICA"
"Southampton, UK",50.9097004,-1.4043509,"SOUTHAMPTON, ENGLAND"
Dubai - United Arab Emirates,25.2048493,55.2707828,"DUBAI, UNITED ARAB EMIRATES"
"Scotland, UK",56.4906712,-4.2026458,"SCOTLAND, UNITED KINGDOM"
United Kingdom,55.378051,-3.435973,UNITED KINGDOM
"England, UK",52.3555177,-1.1743197,"ENGLAND, UNITED KINGDOM"
"New Delhi, Delhi, India",28.6139391,77.2090212,"NEW DELHI, INDIA"
Singapore,1.352083,103.819836,SINGAPORE/GCC/INTERNATIONAL
Romania,45.943161,24.96676,ROMANIA
"Montreal, QC, Canada",45.5016889,-73.567256,"MONTR�AL, QU�BEC"
"Birmingham, AL, USA",33.5206608,-86.80249,BIRMINGHAM
"Northern Ireland, UK",54.7877149,-6.4923145,NORTHERN IRELAND
"Pune, Maharashtra, India",18.5204303,73.8567437,"PUNE, INDIA"
"800 3rd Ave, New York, NY 10022, USA",40.7556482,-73.971384,NYC - REYKJAVIK
"Girlguiding NWE Region Headquarters, Guiding Road, Preston PR2 5PD, UK",53.7897081,-2.6541002,"NORTH WEST, ENGLAND"
"Caracas, Capital District, Venezuela",10.4805937,-66.9036063,"CARACAS, VENEZUELA"
"Madrid, Spain",40.4167754,-3.7037902,MADRID
"Kent, UK",51.2787075,0.5217254,"KENT, UK"
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"Johannesburg, South Africa",-26.2041028,28.0473051,"JOHANNESBURG, SOUTH AFRICA"
"Northern Ireland, UK",54.7877149,-6.4923145,N.IRELAND
"321 N Pass Ave Suite 100, Burbank, CA 91505, USA",34.1553065,-118.3468303,WHERE I'M MENT TO BE...
"Stellenbosch, South Africa",-33.9321045,18.860152,"STELLENBOSCH, SOUTH AFRICA."
"Hampshire, UK",51.0576948,-1.3080629,"HAMPSHIRE, ENGLAND"
"England, UK",52.3555177,-1.1743197,"ALOHA<U+0001F33A>RE, ENGLAND"
United Kingdom,55.378051,-3.435973,UK
"Connecticut, USA",41.6032207,-73.087749,CT
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"Manila, Metro Manila, Philippines",14.5995124,120.9842195,"MANILA, PHILIPPINES"
"Vancouver, BC, Canada",49.2827291,-123.1207375,"VANCOUVER, BRITISH COLUMBIA"
"England, UK",52.3555177,-1.1743197,ENGLAND
"Mexico City, CDMX, Mexico",19.4326077,-99.133208,CDMX
"Kent, UK",51.2787075,0.5217254,"KENT, UK"
"Edinburgh, UK",55.953252,-3.188267,EDINBURGH
"Newcastle upon Tyne, UK",54.978252,-1.61778,"NEWCASTLE UPON TYNE, ENGLAND"
"Manchester, UK",53.4807593,-2.2426305,"MANCHESTER, ENGLAND"
"England, UK",52.3555177,-1.1743197,"ENGLAND, UNITED KINGDOM"
"Marrakesh, Morocco",31.6294723,-7.9810845,MARRAKECH - MOROCCO
"London, UK",51.5073509,-0.1277583,LONDON ENGLAND
"Scotland, UK",56.4906712,-4.2026458,SCOTLAND
"Malibu, CA, USA",34.0259216,-118.7797571,"MALIBU, CA"
"Uthai Thani, Thailand",15.3835001,100.0245527,"UTHAITHANI,THAILAND"
Japan,36.204824,138.252924,MONBEBE JAPAN
"63900 Fermo, Province of Fermo, Italy",43.1588734,13.7200884,"FERMO, MARCHE"
"Perugia, Province of Perugia, Italy",43.1107168,12.3908279,PERUGIA
"Rio de Janeiro, State of Rio de Janeiro, Brazil",-22.9068467,-43.1728965,"RIO DE JANEIRO, BRASIL"
"Miyagi Prefecture, Japan",38.2688373,140.8721,"MIYAGI-KEN, JAPAN"
"Wales, UK",52.1306607,-3.7837117,"WALES, UNITED KINGDOM"
"Johannesburg, South Africa",-26.2041028,28.0473051,JOZI!
"Turners Hill, Crawley RH10, UK",51.103793,-0.086134,"TURNERS HILL, WEST SUSSEX, UK"
"7021 S Memorial Dr, Tulsa, OK 74133, USA",36.063168,-95.881671,BRIGHTON
"Johannesburg, South Africa",-26.2041028,28.0473051,"JOHANNESBURG, SOUTH AFRICA"
Hong Kong,22.396428,114.109497,HONG KONG
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"Scotland, UK",56.4906712,-4.2026458,"SCOTLAND, UNITED KINGDOM"
Philippines,12.879721,121.774017,REPUBLIC OF THE PHILIPPINES
"C/ Consell de Cent, 170, 08015 Barcelona, Spain",41.3833945,2.1556625,LOCATION NOT FOUND
"England, UK",52.3555177,-1.1743197,"ENGLAND, UNITED KINGDOM"
"New Delhi, Delhi, India",28.6139391,77.2090212,NEW DELHI
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"New York, NY, USA",40.7127753,-74.0059728,"NEW YORK, NY"
United Kingdom,55.378051,-3.435973,UK
Riyadh Saudi Arabia,24.7135517,46.6752957,RIYADH - SAUDI ARABIA
United States,37.09024,-95.712891,ESTADOS UNIDOS
United States,37.09024,-95.712891,UNITED STATES
"Seattle, WA, USA",47.6062095,-122.3320708,"SEATTLE, WA"
"San Diego, CA, USA",32.715738,-117.1610838,"SAN DIEGO, CA"
"Kidderminster, UK",52.388596,-2.2496839,"KIDDERMINSTER, ENGLAND"
"Glasgow, UK",55.864237,-4.251806,GLASGOW
"Idaho, USA",44.0682019,-114.7420408,<U+2148><U+2146>
"Calgary, AB, Canada",51.0486151,-114.0708459,"CALGARY, ALBERTA"
"South West England, UK",50.7772135,-3.999461,"SOUTH WEST, ENGLAND"
"Sabah, Malaysia",5.9788398,116.0753199,"SABAH, MALAYSIA"
"Johannesburg, South Africa",-26.2041028,28.0473051,"JOHANNESBURG, SOUTH AFRICA"
"Cork, Ireland",51.8968917,-8.4863157,"CORK, IRELAND"
"402 Old Knoxville Highway, New Tazewell, TN 37825, USA",36.4323195,-83.6114183,SOFA IN ENGLAND
"Manchester, UK",53.4807593,-2.2426305,"MANCHESTER, ENGLAND"
Riyadh Saudi Arabia,24.7135517,46.6752957,"<U+0627><U+0644><U+0631><U+064A><U+0627><U+0636>, <U+0627><U+0644><U+0645><U+0645><U+0644><U+0643><U+0629> <U+0627><U+0644><U+0639><U+0631><U+0628><U+064A><U+0629> <U+0627><U+0644><U+0633><U+0639><U+0648><U+062F><U+064A><U+0629>"
"Richmond, BC, Canada",49.1665898,-123.133569,"RICHMOND, BRITISH COLUMBIA"
"Hertfordshire, UK",51.8097823,-0.2376744,"HERTFORDSHIRE,UK"
"Johannesburg, South Africa",-26.2041028,28.0473051,"JOHANNESBURG, SOUTH AFRICA"
Indonesia,-0.789275,113.921327,INDONESIA
"London, UK",51.5073509,-0.1277583,LONDON
"Johannesburg, South Africa",-26.2041028,28.0473051,JOBURG SOUTH AFRICA
United Kingdom,55.378051,-3.435973,UK
United Kingdom,55.378051,-3.435973,UNITED KINGDOM
"London, UK",51.5073509,-0.1277583,LONDON
"50 Marine Dr, Edinburgh EH4 5ES, UK",55.979485,-3.279263,"50 MARINE DRIVE, EH4 5ES"
"10914 Johnson Dr, Shawnee, KS 66203, USA",39.0230741,-94.7129141,HEAVEN ON EARTH :)
"Salisbury, UK",51.068785,-1.794472,"SALISBURY, ENGLAND"
"Port Shepstone, South Africa",-30.7276956,30.447285,SOUTH AFRICA/ KZN/PORT SHEPSTONE
"Woburn, MA, USA",42.4792618,-71.1522765,WOBURN
"Walkington, Beverley HU17, UK",53.820413,-0.48754,WALKINGTON (BEVERLEY)
"San Francisco, CA, USA",37.7749295,-122.4194155,"SAN FRANCISCO, CA"
"Paris, France",48.856614,2.3522219,PARIS
"Tokyo, Japan",35.7090259,139.7319925,<U+6771><U+4EAC>
Netherlands,52.132633,5.291266,NL <U+0001F1F3><U+0001F1F1> // NL <U+2715> P
"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.139003,101.686855,KUALA LUMPUR FEDERAL TERRITORY
"Bangkok, Thailand",13.7563309,100.5017651,"BANGKOK,THAILAND"
Canada,56.130366,-106.346771,CANADA
"St. Petersburg, FL, USA",27.7676008,-82.6402915,"ST PETERSBURG, FL"
"Johannesburg, South Africa",-26.2041028,28.0473051,JOHANNESBURG
"B274, Matale 21000, Sri Lanka",7.4842531,80.6257385,URENUS
"London, UK",51.5073509,-0.1277583,LONDON
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"Norfolk, VA, USA",36.8507689,-76.2858726,NORFOLK
"Cape Town, South Africa",-33.9248685,18.4240553,"CAPE TOWN, SOUTH AFRICA"
"Kildare, Ireland",53.1589342,-6.9095683,"KILDARE, IRELAND"
"Canarias, España, Zac., Mexico",22.7618321,-102.6061142,"CANARIAS, ESPA�A, M�XICO"
United Kingdom,55.378051,-3.435973,UNITED KINGDOM
"Orange County, CA, USA",33.7174708,-117.8311428,"ORANGE COUNTY, CA"
Japan,36.204824,138.252924,JAPAN
"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.139003,101.686855,KUALA LUMPUR FEDERAL TERRITORY
"Topping, VA 23169, USA",37.5881938,-76.4743934,TOPPING & COMPANY BOOKSELLERS
"Dublin, Ireland",53.3498053,-6.2603097,DUBLIN
"Ibiza, Balearic Islands, Spain",39.0200099,1.4821482,"EIVISSA, SPAIN"
United States,37.09024,-95.712891,USA
"Cuadrante, Limón, Guápiles, Costa Rica",10.2157379,-83.7927273,EXO PLANET
"Los Angeles, CA, USA",34.0522342,-118.2436849,"LOS ANGELES, CA"
"England, UK",52.3555177,-1.1743197,"ENGLAND, UNITED KINGDOM"
"Swansea, UK",51.62144,-3.943646,SWANSEA
"Glasgow, UK",55.864237,-4.251806,GLASGOW
"Port Elizabeth, South Africa",-33.9608369,25.6022423,"PORT ELIZABETH, SOUTH AFRICA"
Northern Mariana Islands,15.0979,145.6739,NORTHERN MARIANA ISLANDS
"Medellín, Ver., Mexico",19.0594002,-96.158664,BOCA DEL R�O. VERACRUZ DE IGNACIO DE LA LLAVE. MEDELLIN DE BRAVO.
"Wales, UK",52.1306607,-3.7837117,WALES
"San Francisco, CA, USA",37.7749295,-122.4194155,"SAN FRANSICO, CA"
"Washington, USA",47.7510741,-120.7401385,"WASHINGTON, USA"
"Chittagong, Bangladesh",22.356851,91.7831819,"CHITTAGONG, BANGLADESH"
"Bengaluru, Karnataka, India",12.9715987,77.5945627,BANGALORE
"London, UK",51.5073509,-0.1277583,LONDON
"Izmir, İzmir, Turkey",38.423734,27.142826,"IZMIR, TURKEY"
United Kingdom,55.378051,-3.435973,UNITED KINGDOM
"Rawamangun, Pulo Gadung, East Jakarta City, Jakarta, Indonesia",-6.1976024,106.879792,RAWAMANGUN
"Buffalo, NY, USA",42.8864468,-78.8783689,"BUFFALO, NY"
"533 S Rockford Ave, Tulsa, OK 74120, USA",36.153243,-95.971072,WORLDWIDE
"London, UK",51.5073509,-0.1277583,"LONDON, UK"
Cyprus,35.126413,33.429859,CYPRUS
United States,37.09024,-95.712891,UNITED STATES
"Forest Grove, OR 97116, USA",45.5263514,-123.1208596,"FOREST GROVE, OR"
Italy,41.87194,12.56738,ITALIA
"Hertfordshire, UK",51.8097823,-0.2376744,HERTFORDSHIRE
"Okayama, Okayama Prefecture, Japan",34.6551456,133.9195019,<U+0001F351><U+5CA1><U+5C71><U+0001F449><U+5927><U+962A><U+0001F449><U+5CA1><U+5C71><U+FFFD>
Asia,34.047863,100.6196553,ASIA
"Long Beach, CA, USA",33.7700504,-118.1937395,"LONG BEACH, CALIFORNIA"
"Seattle, WA, USA",47.6062095,-122.3320708,"SEATTLE, WA"
"Chicago, IL, USA",41.8781136,-87.6297982,CHICAGO
"Castle Rd, Salisbury SP1 3SD, UK",51.0932288,-1.8048782,"OLD SARUM, ENGLAND"
"Medellin, Antioquia, Colombia",6.244203,-75.5812119,IN THE GYM SHOOTING HOOPS <U+0001F3C0>NACIO DE LA LLAVE. MEDELLIN DE BRAVO.
"Midlands Province, Zimbabwe",-19.0552009,29.6035495,MIDLANDS
